step	pg1
0	0.00042
1	0.000842972
2	0.00124852
3	0.0016366439999999998
4	0.0018416
5	0.001802
6	0.0017624
7	0.0017228
8	0.0016832000000000001
9	0.0016436000000000003
10	0.0016040000000000002
11	0.0015644
12	0.0015248
13	0.0014852
14	0.0014456
15	0.001406
16	0.0013663999999999998
17	0.0013267999999999997
18	0.0012872
19	0.0012476
20	0.001208
21	0.0011684000000000002
22	0.0011288000000000001
23	0.0010892000000000002
24	0.0010496000000000001
25	0.00101
26	0.0009704
27	0.0009308
28	0.0008911999999999999
29	0.0008516000000000001
30	0.0008120000000000001
31	0.0007724
32	0.0007328
33	0.0006931999999999999
34	0.0006536
35	0.0006140000000000001
36	0.0005744000000000001
37	0.0005348000000000001
38	0.0004952
39	0.00045559999999999996
40	0.0004159999999999999
41	0.00037640000000000015
42	0.0003368000000000001
43	0.0002972
44	0.00025760000000000003
45	0.00021799999999999996
46	0.00017839999999999992
47	0.0001388000000000001
48	9.920000000000008e-05
49	5.9600000000000046e-05
