step	mAP50-95(B)
0	0.57188
1	0.39777
2	0.12407
3	0.54761
4	0.5645
5	0.59985
6	0.63023
7	0.63958
8	0.63566
9	0.62687
10	0.59569
11	0.64534
12	0.63687
13	0.64987
14	0.6592
15	0.6491
16	0.63198
17	0.64185
18	0.6521
19	0.65956
20	0.65605
21	0.64332
22	0.64226
23	0.64729
24	0.64419
25	0.67124
26	0.66373
27	0.63442
28	0.62088
29	0.6265
