step	mAP50(B)
0	0.94197
1	0.78198
2	0.26391
3	0.88587
4	0.92594
5	0.97813
6	0.97875
7	0.9902
8	0.98615
9	0.98049
10	0.98843
11	0.98537
12	0.98317
13	0.98995
14	0.98712
15	0.97945
16	0.98517
17	0.98528
18	0.98912
19	0.98568
20	0.99075
21	0.98245
22	0.99133
23	0.98927
24	0.98966
25	0.98986
26	0.98981
27	0.98724
28	0.9811
29	0.98032
