step	precision(B)
0	0.00521
1	1.0
2	0.40057
3	0.98321
4	0.98442
5	0.97377
6	0.97575
7	0.98186
8	0.97366
9	0.95473
10	0.97259
11	0.97191
12	0.97265
13	0.96517
14	0.97354
15	0.94876
16	0.96361
17	0.96513
18	0.96454
19	0.97273
20	0.98194
21	0.98094
22	0.97185
23	0.96515
24	0.97295
25	0.9663
26	0.98197
27	0.98049
28	0.97234
29	0.98035
