step	recall(B)
0	1.0
1	0.0562
2	0.05405
3	0.52748
4	0.56909
5	0.90991
6	0.99099
7	0.97521
8	0.96396
9	0.98198
10	0.98198
11	1.0
12	0.96119
13	0.99859
14	0.99456
15	0.96396
16	0.95414
17	0.99737
18	0.98021
19	0.9641
20	0.9799
21	0.99099
22	0.98198
23	0.99795
24	0.97198
25	0.98198
26	0.98132
27	0.99099
28	0.9501
29	0.99099
