step	cls_loss
0	2.52293
1	1.41685
2	1.16614
3	1.10758
4	1.07887
5	1.05152
6	0.97736
7	0.90001
8	0.87137
9	0.81867
10	0.81755
11	0.77436
12	0.7544
13	0.73786
14	0.70268
15	0.70054
16	0.69837
17	0.65232
18	0.63377
19	0.64261
20	0.61199
21	0.60084
22	0.62051
23	0.61202
24	0.59894
25	0.59149
26	0.56347
27	0.54748
28	0.56609
29	0.56282
