step	box_loss
0	1.4557
1	1.32502
2	1.28569
3	1.22148
4	1.2997
5	1.31449
6	1.24038
7	1.21376
8	1.23005
9	1.18605
10	1.21876
11	1.18554
12	1.16227
13	1.18598
14	1.17311
15	1.17917
16	1.19141
17	1.13799
18	1.14659
19	1.13649
20	1.10189
21	1.09641
22	1.11569
23	1.11024
24	1.08395
25	1.09336
26	1.0506
27	1.03951
28	1.09539
29	1.05469
