step	dfl_loss
0	1.1252
1	1.07605
2	1.07015
3	1.07988
4	1.09031
5	1.13102
6	1.06525
7	1.06288
8	1.06221
9	1.06615
10	1.06005
11	1.05795
12	1.05052
13	1.05673
14	1.05766
15	1.05397
16	1.04449
17	1.03025
18	1.04318
19	1.04843
20	1.0259
21	1.04112
22	1.02905
23	1.03167
24	1.0201
25	1.01786
26	1.01266
27	1.01199
28	1.01672
29	0.99516
